STARTOFEVENT,02/07/2001 00:00:00,junsd_stopwatch
0,02/07/2001 00:00:00
1,02/07/2001 00:16:28,00:16:28
2,02/07/2001 00:16:59,00:16:59
3,02/07/2001 00:18:29,00:18:29
4,02/07/2001 00:18:52,00:18:52
5,02/07/2001 00:18:57,00:18:57
6,02/07/2001 00:19:10,00:19:10
7,02/07/2001 00:19:27,00:19:27
8,02/07/2001 00:19:29,00:19:29
9,02/07/2001 00:19:45,00:19:45
10,02/07/2001 00:19:52,00:19:52
11,02/07/2001 00:20:00,00:20:00
12,02/07/2001 00:20:02,00:20:02
13,02/07/2001 00:20:13,00:20:13
14,02/07/2001 00:20:23,00:20:23
15,02/07/2001 00:20:27,00:20:27
16,02/07/2001 00:20:43,00:20:43
17,02/07/2001 00:20:45,00:20:45
18,02/07/2001 00:20:49,00:20:49
19,02/07/2001 00:20:54,00:20:54
20,02/07/2001 00:21:20,00:21:20
21,02/07/2001 00:21:21,00:21:21
22,02/07/2001 00:21:24,00:21:24
23,02/07/2001 00:21:26,00:21:26
24,02/07/2001 00:21:30,00:21:30
25,02/07/2001 00:21:37,00:21:37
26,02/07/2001 00:21:46,00:21:46
27,02/07/2001 00:21:51,00:21:51
28,02/07/2001 00:22:29,00:22:29
29,02/07/2001 00:22:37,00:22:37
30,02/07/2001 00:22:37,00:22:37
31,02/07/2001 00:22:55,00:22:55
32,02/07/2001 00:22:56,00:22:56
33,02/07/2001 00:23:11,00:23:11
34,02/07/2001 00:23:13,00:23:13
35,02/07/2001 00:23:16,00:23:16
36,02/07/2001 00:23:17,00:23:17
37,02/07/2001 00:23:17,00:23:17
38,02/07/2001 00:23:40,00:23:40
39,02/07/2001 00:23:45,00:23:45
40,02/07/2001 00:24:18,00:24:18
41,02/07/2001 00:24:23,00:24:23
42,02/07/2001 00:24:24,00:24:24
43,02/07/2001 00:24:25,00:24:25
44,02/07/2001 00:24:37,00:24:37
45,02/07/2001 00:24:44,00:24:44
46,02/07/2001 00:24:45,00:24:45
47,02/07/2001 00:24:49,00:24:49
48,02/07/2001 00:25:08,00:25:08
49,02/07/2001 00:25:24,00:25:24
50,02/07/2001 00:25:37,00:25:37
51,02/07/2001 00:25:37,00:25:37
52,02/07/2001 00:25:38,00:25:38
53,02/07/2001 00:25:53,00:25:53
54,02/07/2001 00:25:54,00:25:54
55,02/07/2001 00:25:59,00:25:59
56,02/07/2001 00:26:01,00:26:01
57,02/07/2001 00:26:05,00:26:05
58,02/07/2001 00:26:06,00:26:06
59,02/07/2001 00:26:12,00:26:12
60,02/07/2001 00:26:15,00:26:15
61,02/07/2001 00:26:19,00:26:19
62,02/07/2001 00:26:21,00:26:21
63,02/07/2001 00:26:22,00:26:22
64,02/07/2001 00:26:32,00:26:32
65,02/07/2001 00:26:33,00:26:33
66,02/07/2001 00:26:38,00:26:38
67,02/07/2001 00:26:42,00:26:42
68,02/07/2001 00:26:53,00:26:53
69,02/07/2001 00:26:56,00:26:56
70,02/07/2001 00:26:60,00:26:60
71,02/07/2001 00:27:04,00:27:04
72,02/07/2001 00:27:11,00:27:11
73,02/07/2001 00:27:13,00:27:13
74,02/07/2001 00:27:20,00:27:20
75,02/07/2001 00:27:22,00:27:22
76,02/07/2001 00:27:23,00:27:23
77,02/07/2001 00:27:25,00:27:25
78,02/07/2001 00:27:27,00:27:27
79,02/07/2001 00:27:37,00:27:37
80,02/07/2001 00:27:41,00:27:41
81,02/07/2001 00:27:44,00:27:44
82,02/07/2001 00:27:49,00:27:49
83,02/07/2001 00:27:50,00:27:50
84,02/07/2001 00:27:51,00:27:51
85,02/07/2001 00:27:52,00:27:52
86,02/07/2001 00:28:09,00:28:09
87,02/07/2001 00:28:12,00:28:12
88,02/07/2001 00:28:27,00:28:27
89,02/07/2001 00:28:30,00:28:30
90,02/07/2001 00:28:30,00:28:30
91,02/07/2001 00:28:40,00:28:40
92,02/07/2001 00:28:44,00:28:44
93,02/07/2001 00:28:51,00:28:51
94,02/07/2001 00:29:14,00:29:14
95,02/07/2001 00:29:16,00:29:16
96,02/07/2001 00:29:18,00:29:18
97,02/07/2001 00:29:26,00:29:26
98,02/07/2001 00:29:31,00:29:31
99,02/07/2001 00:29:54,00:29:54
