A1660402,P0011,28/07/2015 10:42:08 AM
A1572369,P0010,28/07/2015 10:42:16 AM
A1572440,P0018,28/07/2015 10:42:22 AM
A736398,P0013,28/07/2015 10:42:34 AM
A1024517,P0015,28/07/2015 10:42:43 AM
A1598321,P0017,28/07/2015 10:42:48 AM
A1059963,P0012,28/07/2015 10:42:55 AM
A1772857,P0022,28/07/2015 10:43:18 AM
A954817,P0024,28/07/2015 10:43:24 AM
A1387252,P0023,28/07/2015 10:43:33 AM
A495100,P0031,28/07/2015 10:43:39 AM
A1805956,P0021,28/07/2015 10:43:44 AM
A1486744,P0016,28/07/2015 10:43:51 AM
A785140,P0033,28/07/2015 10:43:57 AM
A785417,P0034,28/07/2015 10:44:02 AM
,P0036,28/07/2015 10:44:14 AM
A1365967,P0027,28/07/2015 10:44:27 AM
A1569062,P0028,28/07/2015 10:44:36 AM
A1660409,P0038,28/07/2015 10:44:43 AM
A684929,P0030,28/07/2015 10:45:04 AM
A1753940,P0029,28/07/2015 10:45:15 AM
A1409218,P0042,28/07/2015 10:45:26 AM
A1431203,P0040,28/07/2015 10:45:37 AM
A1804295,P0035,28/07/2015 10:45:45 AM
A1660399,P0047,28/07/2015 10:45:56 AM
A1619956,P0045,28/07/2015 10:46:08 AM
A1518853,P0048,28/07/2015 10:46:16 AM
A1324289,P0054,28/07/2015 10:46:47 AM
A695698,P0039,28/07/2015 10:46:53 AM
A1547362,P0051,28/07/2015 10:47:00 AM
A1433533,P0055,28/07/2015 10:47:08 AM
A1748988,P0059,28/07/2015 10:47:21 AM
A507407,P0062,28/07/2015 10:47:42 AM
A1150904,P0063,28/07/2015 10:47:48 AM
A1696190,P0058,28/07/2015 10:47:57 AM
A1521686,P68,28/07/2015 10:48:03 AM
A684918,P0037,28/07/2015 10:48:18 AM
A1682400,P0072,28/07/2015 10:48:26 AM
A1687377,P0070,28/07/2015 10:48:33 AM
A1173109,P0074,28/07/2015 10:48:40 AM
A814625,P0075,28/07/2015 10:48:45 AM
A1521676,P0071,28/07/2015 10:48:57 AM
A1484499,P0069,28/07/2015 10:49:03 AM
A1569397,P0079,28/07/2015 10:49:10 AM
A1661796,P0056,28/07/2015 10:49:16 AM
A558370,P0057,28/07/2015 10:49:21 AM
A670479,P0073,28/07/2015 10:49:33 AM
A562317,P66,28/07/2015 10:50:02 AM
A569930,P0067,28/07/2015 10:50:08 AM
A1770901,P0081,28/07/2015 10:50:18 AM
A1789512,P0082,28/07/2015 10:50:26 AM
A1498443,P0087,28/07/2015 10:50:52 AM
A1801972,P0084,28/07/2015 10:50:58 AM
A1353131,P0085,28/07/2015 10:51:08 AM
A161771,P0088,28/07/2015 10:51:27 AM
A1766176,P0089,28/07/2015 10:51:48 AM
A1519336,P0052,28/07/2015 10:52:05 AM
A1519318,P0053,28/07/2015 10:52:12 AM
A1519331,P0076,28/07/2015 10:52:17 AM
A1519321,P0091,28/07/2015 10:52:21 AM
A1643069,P0093,28/07/2015 10:52:30 AM
A1780591,P0092,28/07/2015 10:52:35 AM
A1478519,P0083,28/07/2015 10:52:46 AM
A1799049,P0044,28/07/2015 10:54:20 AM
A1786072,P0095,28/07/2015 10:55:01 AM
A1415682,P0086,28/07/2015 10:57:15 AM
A1557217,P0097,28/07/2015 10:57:24 AM
A579984,P0098,28/07/2015 10:57:30 AM
A535805,P0101,28/07/2015 10:59:04 AM
A1616230,P0100,28/07/2015 10:59:09 AM
A1345947,P0099,28/07/2015 11:00:12 AM
A1345963,P0096,28/07/2015 11:00:18 AM
A1353099,P0104,28/07/2015 11:01:41 AM
A535810,P0102,28/07/2015 11:01:47 AM
A1353109,P0103,28/07/2015 11:01:52 AM
A1621096,P0106,28/07/2015 11:02:15 AM
A1558533,P0105,28/07/2015 11:02:19 AM
