STARTOFEVENT,02/07/2001 00:00:00,junsd_stopwatch
0,02/07/2001 00:00:00
1,02/07/2001 00:17:23,00:17:23
2,02/07/2001 00:18:13,00:18:13
3,02/07/2001 00:18:33,00:18:33
4,02/07/2001 00:19:00,00:19:00
5,02/07/2001 00:19:12,00:19:12
6,02/07/2001 00:19:38,00:19:38
7,02/07/2001 00:20:02,00:20:02
8,02/07/2001 00:20:19,00:20:19
9,02/07/2001 00:20:29,00:20:29
10,02/07/2001 00:20:43,00:20:43
11,02/07/2001 00:20:43,00:20:43
12,02/07/2001 00:20:45,00:20:45
13,02/07/2001 00:20:59,00:20:59
14,02/07/2001 00:21:18,00:21:18
15,02/07/2001 00:21:18,00:21:18
16,02/07/2001 00:21:43,00:21:43
17,02/07/2001 00:21:53,00:21:53
18,02/07/2001 00:21:53,00:21:53
19,02/07/2001 00:21:53,00:21:53
20,02/07/2001 00:22:16,00:22:16
21,02/07/2001 00:22:22,00:22:22
22,02/07/2001 00:22:23,00:22:23
23,02/07/2001 00:22:27,00:22:27
24,02/07/2001 00:22:38,00:22:38
25,02/07/2001 00:22:56,00:22:56
26,02/07/2001 00:23:03,00:23:03
27,02/07/2001 00:23:10,00:23:10
28,02/07/2001 00:23:16,00:23:16
29,02/07/2001 00:23:17,00:23:17
30,02/07/2001 00:23:17,00:23:17
31,02/07/2001 00:23:24,00:23:24
32,02/07/2001 00:23:26,00:23:26
33,02/07/2001 00:23:28,00:23:28
34,02/07/2001 00:23:28,00:23:28
35,02/07/2001 00:23:35,00:23:35
36,02/07/2001 00:23:41,00:23:41
37,02/07/2001 00:23:52,00:23:52
38,02/07/2001 00:23:58,00:23:58
39,02/07/2001 00:24:00,00:24:00
40,02/07/2001 00:24:03,00:24:03
41,02/07/2001 00:24:03,00:24:03
42,02/07/2001 00:24:13,00:24:13
43,02/07/2001 00:24:18,00:24:18
44,02/07/2001 00:24:21,00:24:21
45,02/07/2001 00:24:25,00:24:25
46,02/07/2001 00:24:29,00:24:29
47,02/07/2001 00:24:31,00:24:31
48,02/07/2001 00:24:44,00:24:44
49,02/07/2001 00:25:03,00:25:03
50,02/07/2001 00:25:04,00:25:04
51,02/07/2001 00:25:13,00:25:13
52,02/07/2001 00:25:43,00:25:43
53,02/07/2001 00:25:43,00:25:43
54,02/07/2001 00:25:48,00:25:48
55,02/07/2001 00:25:50,00:25:50
56,02/07/2001 00:25:58,00:25:58
57,02/07/2001 00:26:01,00:26:01
58,02/07/2001 00:26:04,00:26:04
59,02/07/2001 00:26:07,00:26:07
60,02/07/2001 00:26:21,00:26:21
61,02/07/2001 00:26:28,00:26:28
62,02/07/2001 00:26:41,00:26:41
63,02/07/2001 00:26:43,00:26:43
64,02/07/2001 00:26:53,00:26:53
65,02/07/2001 00:26:55,00:26:55
66,02/07/2001 00:27:07,00:27:07
67,02/07/2001 00:27:18,00:27:18
68,02/07/2001 00:27:26,00:27:26
69,02/07/2001 00:27:56,00:27:56
70,02/07/2001 00:28:09,00:28:09
71,02/07/2001 00:28:12,00:28:12
72,02/07/2001 00:28:12,00:28:12
73,02/07/2001 00:28:18,00:28:18
74,02/07/2001 00:28:30,00:28:30
75,02/07/2001 00:28:40,00:28:40
76,02/07/2001 00:28:54,00:28:54
77,02/07/2001 00:29:03,00:29:03
78,02/07/2001 00:29:08,00:29:08
79,02/07/2001 00:29:21,00:29:21
80,02/07/2001 00:29:32,00:29:32
81,02/07/2001 00:29:46,00:29:46
82,02/07/2001 00:29:47,00:29:47
83,02/07/2001 00:30:18,00:30:18
84,02/07/2001 00:31:04,00:31:04
85,02/07/2001 00:31:09,00:31:09
86,02/07/2001 00:31:10,00:31:10
87,02/07/2001 00:31:14,00:31:14
88,02/07/2001 00:31:38,00:31:38
89,02/07/2001 00:31:50,00:31:50
90,02/07/2001 00:31:56,00:31:56
91,02/07/2001 00:32:20,00:32:20
92,02/07/2001 00:32:30,00:32:30
93,02/07/2001 00:32:33,00:32:33
94,02/07/2001 00:33:54,00:33:54
95,02/07/2001 00:35:27,00:35:27
96,02/07/2001 00:35:35,00:35:35
97,02/07/2001 00:36:34,00:36:34
98,02/07/2001 00:37:05,00:37:05
99,02/07/2001 00:38:48,00:38:48
100,02/07/2001 00:39:34,00:39:34
101,02/07/2001 00:39:35,00:39:35
102,02/07/2001 00:41:44,00:41:44
103,02/07/2001 00:41:45,00:41:45
104,02/07/2001 00:41:46,00:41:46
105,02/07/2001 00:42:49,00:42:49
106,02/07/2001 00:42:50,00:42:50
ENDOFEVENT,02/07/2001 00:43:50
