STARTOFEVENT,02/07/2001 00:00:00,junsd_stopwatch
0,02/07/2001 00:00:00
1,02/07/2001 00:16:18,00:16:18
2,02/07/2001 00:17:29,00:17:29
3,02/07/2001 00:18:13,00:18:13
4,02/07/2001 00:18:42,00:18:42
5,02/07/2001 00:18:55,00:18:55
6,02/07/2001 00:19:05,00:19:05
7,02/07/2001 00:19:14,00:19:14
8,02/07/2001 00:19:16,00:19:16
9,02/07/2001 00:19:19,00:19:19
10,02/07/2001 00:19:31,00:19:31
11,02/07/2001 00:19:36,00:19:36
12,02/07/2001 00:19:46,00:19:46
13,02/07/2001 00:19:49,00:19:49
14,02/07/2001 00:20:18,00:20:18
15,02/07/2001 00:20:29,00:20:29
16,02/07/2001 00:20:33,00:20:33
17,02/07/2001 00:20:41,00:20:41
18,02/07/2001 00:20:47,00:20:47
19,02/07/2001 00:20:50,00:20:50
20,02/07/2001 00:20:57,00:20:57
21,02/07/2001 00:21:02,00:21:02
22,02/07/2001 00:21:31,00:21:31
23,02/07/2001 00:21:42,00:21:42
24,02/07/2001 00:21:48,00:21:48
25,02/07/2001 00:21:51,00:21:51
26,02/07/2001 00:22:04,00:22:04
27,02/07/2001 00:22:05,00:22:05
28,02/07/2001 00:22:08,00:22:08
29,02/07/2001 00:22:11,00:22:11
30,02/07/2001 00:22:22,00:22:22
31,02/07/2001 00:22:24,00:22:24
32,02/07/2001 00:22:27,00:22:27
33,02/07/2001 00:22:31,00:22:31
34,02/07/2001 00:22:33,00:22:33
35,02/07/2001 00:22:37,00:22:37
36,02/07/2001 00:22:49,00:22:49
37,02/07/2001 00:23:07,00:23:07
38,02/07/2001 00:23:09,00:23:09
39,02/07/2001 00:23:11,00:23:11
40,02/07/2001 00:23:18,00:23:18
41,02/07/2001 00:23:19,00:23:19
42,02/07/2001 00:23:43,00:23:43
43,02/07/2001 00:23:49,00:23:49
44,02/07/2001 00:23:51,00:23:51
45,02/07/2001 00:23:59,00:23:59
46,02/07/2001 00:24:08,00:24:08
47,02/07/2001 00:24:24,00:24:24
48,02/07/2001 00:24:24,00:24:24
49,02/07/2001 00:24:26,00:24:26
50,02/07/2001 00:24:28,00:24:28
51,02/07/2001 00:24:47,00:24:47
52,02/07/2001 00:24:48,00:24:48
53,02/07/2001 00:24:59,00:24:59
54,02/07/2001 00:25:13,00:25:13
55,02/07/2001 00:25:17,00:25:17
56,02/07/2001 00:25:40,00:25:40
57,02/07/2001 00:25:44,00:25:44
58,02/07/2001 00:25:45,00:25:45
59,02/07/2001 00:25:48,00:25:48
60,02/07/2001 00:25:52,00:25:52
61,02/07/2001 00:25:59,00:25:59
62,02/07/2001 00:26:02,00:26:02
63,02/07/2001 00:26:05,00:26:05
64,02/07/2001 00:26:07,00:26:07
65,02/07/2001 00:26:10,00:26:10
66,02/07/2001 00:26:12,00:26:12
67,02/07/2001 00:26:14,00:26:14
68,02/07/2001 00:26:16,00:26:16
69,02/07/2001 00:26:23,00:26:23
70,02/07/2001 00:26:25,00:26:25
71,02/07/2001 00:26:26,00:26:26
72,02/07/2001 00:26:27,00:26:27
73,02/07/2001 00:26:29,00:26:29
74,02/07/2001 00:26:34,00:26:34
75,02/07/2001 00:26:43,00:26:43
76,02/07/2001 00:26:45,00:26:45
77,02/07/2001 00:26:54,00:26:54
78,02/07/2001 00:26:59,00:26:59
79,02/07/2001 00:27:09,00:27:09
80,02/07/2001 00:27:14,00:27:14
81,02/07/2001 00:27:17,00:27:17
82,02/07/2001 00:27:23,00:27:23
83,02/07/2001 00:27:45,00:27:45
84,02/07/2001 00:27:52,00:27:52
85,02/07/2001 00:28:06,00:28:06
86,02/07/2001 00:28:11,00:28:11
87,02/07/2001 00:28:14,00:28:14
88,02/07/2001 00:28:26,00:28:26
89,02/07/2001 00:28:27,00:28:27
90,02/07/2001 00:28:27,00:28:27
